concurrency,request_rate,input_tokens,target_input_tokens,user_content_tokens,final_prompt_tokens,actual_prompt_tokens,prompt_tokens,max_tokens,server_max_tokens,output_tokens,success_count,fail_count,avg_ttft,avg_tpot,avg_latency,output_tokens_per_s,total_tokens_per_s,request_throughput,peak_output_tokens_per_s,peak_concurrent_requests,avg_concurrency,ttft_p50,ttft_p99,latency_p50,latency_p99,tpot_p50,tpot_p99,elapsed_s,host,model,client_cpu_bottleneck
16,1.0,969773,4913.71,4913.71,4922.71,4922.71,4922.71,1000.0,8192.0,110057,197,0,0.535658981698343,0.040344166509476115,22.834582260228352,366.99604914182373,3600.8008917635,0.6569161587262898,2617,16,15.000406064508692,0.3853341117501259,3.0011204341799003,26.556920647621155,28.846141064167018,0.03916873996467676,0.05879775552277019,299.88606214523315,http://10.10.240.13:8000,DeepSeek-R1-0528,false
16,2.0,963764,4908.16,4908.16,4917.16,4917.16,4917.16,1000.0,8192.0,109850,196,0,0.5267370707469479,0.04071463551586207,23.06149785535182,366.2001211137154,3579.0402988564447,0.6533930244723551,2697,16,15.068221832571057,0.38238734286278486,2.995588667318227,26.544365680776536,29.099643630813812,0.03941657506254874,0.05936603271103856,299.9725933074951,http://10.10.240.13:8000,DeepSeek-R1-0528,false
16,4.0,959755,4912.82,4912.82,4921.82,4921.82,4921.82,1000.0,8192.0,110428,195,0,0.5463107552188329,0.040501240562532924,23.211752158193253,368.2252415915715,3568.5550197612265,0.6502329310533238,3402,16,15.093045640705311,0.39053672179579735,2.9884969320148236,26.549203775823116,28.8947179017216,0.039076750665637,0.061811608507969275,299.89253187179565,http://10.10.240.13:8000,DeepSeek-R1-0528,false
32,1.0,1602907,4953.56,4953.56,4962.56,4962.56,4962.56,1000.0,8192.0,177566,323,0,0.8561666571930189,0.0492276446439406,27.561949826788513,592.2757747556649,5938.811627825952,1.0773744705972976,3343,32,29.694541103265557,0.42621123418211937,6.28199448022991,31.4206424895674,36.80114506300538,0.04722450765046045,0.07703524564286965,299.8029086589813,http://10.10.240.13:8000,DeepSeek-R1-0528,false
32,2.0,1636970,4951.52,4951.52,4960.52,4960.52,4960.52,1000.0,8192.0,179103,330,0,0.8271410418109912,0.04860506869393409,26.88715455856626,597.3966987316743,6057.497723967371,1.1007124982912209,2809,32,29.595027066101654,0.4175058575347066,6.23723041700199,31.331405522301793,36.85541173690929,0.04696308582501421,0.07636648617531012,299.8058080673218,http://10.10.240.13:8000,DeepSeek-R1-0528,false
32,4.0,1612925,4953.85,4953.85,4962.85,4962.85,4962.85,1000.0,8192.0,181523,325,0,0.8225847337394953,0.04833026741278543,27.419660656664234,605.4705471873186,5985.387044392113,1.0840385396664807,2736,32,29.723968896400752,0.4142082743346691,6.242971556410192,31.366537952795625,36.791511341929436,0.046556044297318244,0.07501741675718705,299.8048391342163,http://10.10.240.13:8000,DeepSeek-R1-0528,false
64,1.0,2819031,5033.99,5033.99,5042.99,5042.99,5042.99,1000.0,8192.0,308190,559,0,1.8821641080654585,0.055006446236085096,31.697249297885648,1027.871562831934,10429.869679713303,1.8643700432299912,11787,64,59.095402043770875,0.5475086309015751,13.401648797690868,35.850904321298,48.95240569677204,0.0528287737397477,0.08322081496478322,299.83318066596985,http://10.10.240.13:8000,DeepSeek-R1-0528,false
64,2.0,2871139,5019.26,5019.26,5028.26,5028.26,5028.26,1000.0,8192.0,311300,571,0,1.5103864023223805,0.05502024896885799,31.064173919235188,1038.1149584158813,10612.712914057432,1.9041556095582017,3339,64,59.151021024603274,0.5532828569412231,12.691018301434806,35.81476472876966,47.59535224717109,0.053025256903719405,0.08042568474724497,299.870450258255,http://10.10.240.13:8000,DeepSeek-R1-0528,false
64,4.0,2825040,5035.71,5035.71,5044.71,5044.71,5044.71,1000.0,8192.0,307279,560,0,1.5000196660835563,0.0557544514306753,31.519676399679987,1024.5465785154358,10443.950658095382,1.867182866283228,3675,64,58.8529997242743,0.5696324370801449,12.744971037451172,35.835156040266156,47.86341215159744,0.053394228003948274,0.08509130115424979,299.91706228256226,http://10.10.240.13:8000,DeepSeek-R1-0528,false
96,1.0,3418129,5010.28,5010.28,5019.28,5019.28,5019.28,1000.0,8192.0,374068,681,0,2.4319963234171773,0.06608348672914115,38.37218092225776,1247.6638502253954,12648.467951904986,2.271402744964804,3983,96,87.15867707710237,0.6386544592678547,19.340032446384438,43.7735818810761,61.26749102473259,0.06428500896365177,0.09540056412617362,299.81472969055176,http://10.10.240.13:8000,DeepSeek-R1-0528,false
